,geo,Tertiary_Education,Urban_Population,Social_Protection,GDP_per_Capita,Labor_Force_Participation,Unemployment_Rate
0,AT,35.6,59.256,53.1,123,77.8,4.5
1,AT,35.6,59.256,53.1,123,77.8,4.9
2,AT,35.6,59.256,53.1,123,77.8,4.8
3,AT,35.6,59.256,53.1,123,0.5,4.5
4,AT,35.6,59.256,53.1,123,0.5,4.9
5,AT,35.6,59.256,53.1,123,0.5,4.8
6,AT,35.6,59.256,36.2,123,77.8,4.5
7,AT,35.6,59.256,36.2,123,77.8,4.9
8,AT,35.6,59.256,36.2,123,77.8,4.8
9,AT,35.6,59.256,36.2,123,0.5,4.5
10,AT,35.6,59.256,36.2,123,0.5,4.9
11,AT,35.6,59.256,36.2,123,0.5,4.8
12,AT,35.6,59.256,9.3,123,77.8,4.5
13,AT,35.6,59.256,9.3,123,77.8,4.9
14,AT,35.6,59.256,9.3,123,77.8,4.8
15,AT,35.6,59.256,9.3,123,0.5,4.5
16,AT,35.6,59.256,9.3,123,0.5,4.9
17,AT,35.6,59.256,9.3,123,0.5,4.8
18,AT,35.6,59.256,8.9,123,77.8,4.5
19,AT,35.6,59.256,8.9,123,77.8,4.9
20,AT,35.6,59.256,8.9,123,77.8,4.8
21,AT,35.6,59.256,8.9,123,0.5,4.5
22,AT,35.6,59.256,8.9,123,0.5,4.9
23,AT,35.6,59.256,8.9,123,0.5,4.8
24,AT,35.6,59.256,17.6,123,77.8,4.5
25,AT,35.6,59.256,17.6,123,77.8,4.9
26,AT,35.6,59.256,17.6,123,77.8,4.8
27,AT,35.6,59.256,17.6,123,0.5,4.5
28,AT,35.6,59.256,17.6,123,0.5,4.9
29,AT,35.6,59.256,17.6,123,0.5,4.8
30,BE,45.8,98.153,52.3,119,70.5,5.3
31,BE,45.8,98.153,52.3,119,70.5,5.8
32,BE,45.8,98.153,52.3,119,70.5,5.6
33,BE,45.8,98.153,52.3,119,1.4,5.3
34,BE,45.8,98.153,52.3,119,1.4,5.8
35,BE,45.8,98.153,52.3,119,1.4,5.6
36,BE,45.8,98.153,27.0,119,70.5,5.3
37,BE,45.8,98.153,27.0,119,70.5,5.8
38,BE,45.8,98.153,27.0,119,70.5,5.6
39,BE,45.8,98.153,27.0,119,1.4,5.3
40,BE,45.8,98.153,27.0,119,1.4,5.8
41,BE,45.8,98.153,27.0,119,1.4,5.6
42,BE,45.8,98.153,19.5,119,70.5,5.3
43,BE,45.8,98.153,19.5,119,70.5,5.8
44,BE,45.8,98.153,19.5,119,70.5,5.6
45,BE,45.8,98.153,19.5,119,1.4,5.3
46,BE,45.8,98.153,19.5,119,1.4,5.8
47,BE,45.8,98.153,19.5,119,1.4,5.6
48,BE,45.8,98.153,6.9,119,70.5,5.3
49,BE,45.8,98.153,6.9,119,70.5,5.8
50,BE,45.8,98.153,6.9,119,70.5,5.6
51,BE,45.8,98.153,6.9,119,1.4,5.3
52,BE,45.8,98.153,6.9,119,1.4,5.8
53,BE,45.8,98.153,6.9,119,1.4,5.6
54,BE,45.8,98.153,20.9,119,70.5,5.3
55,BE,45.8,98.153,20.9,119,70.5,5.8
56,BE,45.8,98.153,20.9,119,70.5,5.6
57,BE,45.8,98.153,20.9,119,1.4,5.3
58,BE,45.8,98.153,20.9,119,1.4,5.8
59,BE,45.8,98.153,20.9,119,1.4,5.6
60,BG,29.9,76.363,41.3,62,73.7,3.9
61,BG,29.9,76.363,41.3,62,73.7,4.3
62,BG,29.9,76.363,41.3,62,73.7,4.2
63,BG,29.9,76.363,41.3,62,0.1,3.9
64,BG,29.9,76.363,41.3,62,0.1,4.3
65,BG,29.9,76.363,41.3,62,0.1,4.2
66,BG,29.9,76.363,31.6,62,73.7,3.9
67,BG,29.9,76.363,31.6,62,73.7,4.3
68,BG,29.9,76.363,31.6,62,73.7,4.2
69,BG,29.9,76.363,31.6,62,0.1,3.9
70,BG,29.9,76.363,31.6,62,0.1,4.3
71,BG,29.9,76.363,31.6,62,0.1,4.2
72,BG,29.9,76.363,,62,73.7,3.9
73,BG,29.9,76.363,,62,73.7,4.3
74,BG,29.9,76.363,,62,73.7,4.2
75,BG,29.9,76.363,,62,0.1,3.9
76,BG,29.9,76.363,,62,0.1,4.3
77,BG,29.9,76.363,,62,0.1,4.2
78,BG,29.9,76.363,7.3,62,73.7,3.9
79,BG,29.9,76.363,7.3,62,73.7,4.3
80,BG,29.9,76.363,7.3,62,73.7,4.2
81,BG,29.9,76.363,7.3,62,0.1,3.9
82,BG,29.9,76.363,7.3,62,0.1,4.3
83,BG,29.9,76.363,7.3,62,0.1,4.2
84,BG,29.9,76.363,15.1,62,73.7,3.9
85,BG,29.9,76.363,15.1,62,73.7,4.3
86,BG,29.9,76.363,15.1,62,73.7,4.2
87,BG,29.9,76.363,15.1,62,0.1,3.9
88,BG,29.9,76.363,15.1,62,0.1,4.3
89,BG,29.9,76.363,15.1,62,0.1,4.2
90,CY,48.0,66.911,38.1,98,79.2,6.8
91,CY,48.0,66.911,38.1,98,79.2,5.8
92,CY,48.0,66.911,38.1,98,79.2,6.3
93,CY,48.0,66.911,38.1,98,2.1,6.8
94,CY,48.0,66.911,38.1,98,2.1,5.8
95,CY,48.0,66.911,38.1,98,2.1,6.3
96,CY,48.0,66.911,29.6,98,79.2,6.8
97,CY,48.0,66.911,29.6,98,79.2,5.8
98,CY,48.0,66.911,29.6,98,79.2,6.3
99,CY,48.0,66.911,29.6,98,2.1,6.8
100,CY,48.0,66.911,29.6,98,2.1,5.8
101,CY,48.0,66.911,29.6,98,2.1,6.3
102,CY,48.0,66.911,,98,79.2,6.8
103,CY,48.0,66.911,,98,79.2,5.8
104,CY,48.0,66.911,,98,79.2,6.3
105,CY,48.0,66.911,,98,2.1,6.8
106,CY,48.0,66.911,,98,2.1,5.8
107,CY,48.0,66.911,,98,2.1,6.3
108,CY,48.0,66.911,1.6,98,79.2,6.8
109,CY,48.0,66.911,1.6,98,79.2,5.8
110,CY,48.0,66.911,1.6,98,79.2,6.3
111,CY,48.0,66.911,1.6,98,2.1,6.8
112,CY,48.0,66.911,1.6,98,2.1,5.8
113,CY,48.0,66.911,1.6,98,2.1,6.3
114,CY,48.0,66.911,11.3,98,79.2,6.8
115,CY,48.0,66.911,11.3,98,79.2,5.8
116,CY,48.0,66.911,11.3,98,79.2,6.3
117,CY,48.0,66.911,11.3,98,2.1,6.8
118,CY,48.0,66.911,11.3,98,2.1,5.8
119,CY,48.0,66.911,11.3,98,2.1,6.3
120,CZ,26.7,74.377,43.0,89,77.2,2.8
121,CZ,26.7,74.377,43.0,89,77.2,1.8
122,CZ,26.7,74.377,43.0,89,77.2,2.2
123,CZ,26.7,74.377,43.0,89,0.5,2.8
124,CZ,26.7,74.377,43.0,89,0.5,1.8
125,CZ,26.7,74.377,43.0,89,0.5,2.2
126,CZ,26.7,74.377,36.9,89,77.2,2.8
127,CZ,26.7,74.377,36.9,89,77.2,1.8
128,CZ,26.7,74.377,36.9,89,77.2,2.2
129,CZ,26.7,74.377,36.9,89,0.5,2.8
130,CZ,26.7,74.377,36.9,89,0.5,1.8
131,CZ,26.7,74.377,36.9,89,0.5,2.2
132,CZ,26.7,74.377,,89,77.2,2.8
133,CZ,26.7,74.377,,89,77.2,1.8
134,CZ,26.7,74.377,,89,77.2,2.2
135,CZ,26.7,74.377,,89,0.5,2.8
136,CZ,26.7,74.377,,89,0.5,1.8
137,CZ,26.7,74.377,,89,0.5,2.2
138,CZ,26.7,74.377,11.9,89,77.2,2.8
139,CZ,26.7,74.377,11.9,89,77.2,1.8
140,CZ,26.7,74.377,11.9,89,77.2,2.2
141,CZ,26.7,74.377,11.9,89,0.5,2.8
142,CZ,26.7,74.377,11.9,89,0.5,1.8
143,CZ,26.7,74.377,11.9,89,0.5,2.2
144,CZ,26.7,74.377,6.1,89,77.2,2.8
145,CZ,26.7,74.377,6.1,89,77.2,1.8
146,CZ,26.7,74.377,6.1,89,77.2,2.2
147,CZ,26.7,74.377,6.1,89,0.5,2.8
148,CZ,26.7,74.377,6.1,89,0.5,1.8
149,CZ,26.7,74.377,6.1,89,0.5,2.2
150,DE,32.0,77.648,49.0,118,79.3,2.9
151,DE,32.0,77.648,49.0,118,79.3,3.4
152,DE,32.0,77.648,49.0,118,79.3,3.2
153,DE,32.0,77.648,49.0,118,1.3,2.9
154,DE,32.0,77.648,49.0,118,1.3,3.4
155,DE,32.0,77.648,49.0,118,1.3,3.2
156,DE,32.0,77.648,16.3,118,79.3,2.9
157,DE,32.0,77.648,16.3,118,79.3,3.4
158,DE,32.0,77.648,16.3,118,79.3,3.2
159,DE,32.0,77.648,16.3,118,1.3,2.9
160,DE,32.0,77.648,16.3,118,1.3,3.4
161,DE,32.0,77.648,16.3,118,1.3,3.2
162,DE,32.0,77.648,14.6,118,79.3,2.9
163,DE,32.0,77.648,14.6,118,79.3,3.4
164,DE,32.0,77.648,14.6,118,79.3,3.2
165,DE,32.0,77.648,14.6,118,1.3,2.9
166,DE,32.0,77.648,14.6,118,1.3,3.4
167,DE,32.0,77.648,14.6,118,1.3,3.2
168,DE,32.0,77.648,8.7,118,79.3,2.9
169,DE,32.0,77.648,8.7,118,79.3,3.4
170,DE,32.0,77.648,8.7,118,79.3,3.2
171,DE,32.0,77.648,8.7,118,1.3,2.9
172,DE,32.0,77.648,8.7,118,1.3,3.4
173,DE,32.0,77.648,8.7,118,1.3,3.2
174,DE,32.0,77.648,20.3,118,79.3,2.9
175,DE,32.0,77.648,20.3,118,79.3,3.4
176,DE,32.0,77.648,20.3,118,79.3,3.2
177,DE,32.0,77.648,20.3,118,1.3,2.9
178,DE,32.0,77.648,20.3,118,1.3,3.4
179,DE,32.0,77.648,20.3,118,1.3,3.2
180,DK,42.1,88.367,44.9,135,80.4,4.5
181,DK,42.1,88.367,44.9,135,80.4,4.4
182,DK,42.1,88.367,44.9,135,80.4,4.5
183,DK,42.1,88.367,44.9,135,1.3,4.5
184,DK,42.1,88.367,44.9,135,1.3,4.4
185,DK,42.1,88.367,44.9,135,1.3,4.5
186,DK,42.1,88.367,33.0,135,80.4,4.5
187,DK,42.1,88.367,33.0,135,80.4,4.4
188,DK,42.1,88.367,33.0,135,80.4,4.5
189,DK,42.1,88.367,33.0,135,1.3,4.5
190,DK,42.1,88.367,33.0,135,1.3,4.4
191,DK,42.1,88.367,33.0,135,1.3,4.5
192,DK,42.1,88.367,,135,80.4,4.5
193,DK,42.1,88.367,,135,80.4,4.4
194,DK,42.1,88.367,,135,80.4,4.5
195,DK,42.1,88.367,,135,1.3,4.5
196,DK,42.1,88.367,,135,1.3,4.4
197,DK,42.1,88.367,,135,1.3,4.5
198,DK,42.1,88.367,29.9,135,80.4,4.5
199,DK,42.1,88.367,29.9,135,80.4,4.4
200,DK,42.1,88.367,29.9,135,80.4,4.5
201,DK,42.1,88.367,29.9,135,1.3,4.5
202,DK,42.1,88.367,29.9,135,1.3,4.4
203,DK,42.1,88.367,29.9,135,1.3,4.5
204,DK,42.1,88.367,1.5,135,80.4,4.5
205,DK,42.1,88.367,1.5,135,80.4,4.4
206,DK,42.1,88.367,1.5,135,80.4,4.5
207,DK,42.1,88.367,1.5,135,1.3,4.5
208,DK,42.1,88.367,1.5,135,1.3,4.4
209,DK,42.1,88.367,1.5,135,1.3,4.5
210,EE,42.1,69.609,40.0,84,81.2,5.1
211,EE,42.1,69.609,40.0,84,81.2,6.1
212,EE,42.1,69.609,40.0,84,81.2,5.6
213,EE,42.1,69.609,40.0,84,2.0,5.1
214,EE,42.1,69.609,40.0,84,2.0,6.1
215,EE,42.1,69.609,40.0,84,2.0,5.6
216,EE,42.1,69.609,35.1,84,81.2,5.1
217,EE,42.1,69.609,35.1,84,81.2,6.1
218,EE,42.1,69.609,35.1,84,81.2,5.6
219,EE,42.1,69.609,35.1,84,2.0,5.1
220,EE,42.1,69.609,35.1,84,2.0,6.1
221,EE,42.1,69.609,35.1,84,2.0,5.6
222,EE,42.1,69.609,,84,81.2,5.1
223,EE,42.1,69.609,,84,81.2,6.1
224,EE,42.1,69.609,,84,81.2,5.6
225,EE,42.1,69.609,,84,2.0,5.1
226,EE,42.1,69.609,,84,2.0,6.1
227,EE,42.1,69.609,,84,2.0,5.6
228,EE,42.1,69.609,9.7,84,81.2,5.1
229,EE,42.1,69.609,9.7,84,81.2,6.1
230,EE,42.1,69.609,9.7,84,81.2,5.6
231,EE,42.1,69.609,9.7,84,2.0,5.1
232,EE,42.1,69.609,9.7,84,2.0,6.1
233,EE,42.1,69.609,9.7,84,2.0,5.6
234,EE,42.1,69.609,7.4,84,81.2,5.1
235,EE,42.1,69.609,7.4,84,81.2,6.1
236,EE,42.1,69.609,7.4,84,81.2,5.6
237,EE,42.1,69.609,7.4,84,2.0,5.1
238,EE,42.1,69.609,7.4,84,2.0,6.1
239,EE,42.1,69.609,7.4,84,2.0,5.6
240,EL,35.1,80.357,52.8,67,69.4,16.4
241,EL,35.1,80.357,52.8,67,69.4,9.3
242,EL,35.1,80.357,52.8,67,69.4,12.5
243,EL,35.1,80.357,52.8,67,0.9,16.4
244,EL,35.1,80.357,52.8,67,0.9,9.3
245,EL,35.1,80.357,52.8,67,0.9,12.5
246,EL,35.1,80.357,40.2,67,69.4,16.4
247,EL,35.1,80.357,40.2,67,69.4,9.3
248,EL,35.1,80.357,40.2,67,69.4,12.5
249,EL,35.1,80.357,40.2,67,0.9,16.4
250,EL,35.1,80.357,40.2,67,0.9,9.3
251,EL,35.1,80.357,40.2,67,0.9,12.5
252,EL,35.1,80.357,,67,69.4,16.4
253,EL,35.1,80.357,,67,69.4,9.3
254,EL,35.1,80.357,,67,69.4,12.5
255,EL,35.1,80.357,,67,0.9,16.4
256,EL,35.1,80.357,,67,0.9,9.3
257,EL,35.1,80.357,,67,0.9,12.5
258,EL,35.1,80.357,3.9,67,69.4,16.4
259,EL,35.1,80.357,3.9,67,69.4,9.3
260,EL,35.1,80.357,3.9,67,69.4,12.5
261,EL,35.1,80.357,3.9,67,0.9,16.4
262,EL,35.1,80.357,3.9,67,0.9,9.3
263,EL,35.1,80.357,3.9,67,0.9,12.5
264,EL,35.1,80.357,21.2,67,69.4,16.4
265,EL,35.1,80.357,21.2,67,69.4,9.3
266,EL,35.1,80.357,21.2,67,69.4,12.5
267,EL,35.1,80.357,21.2,67,0.9,16.4
268,EL,35.1,80.357,21.2,67,0.9,9.3
269,EL,35.1,80.357,21.2,67,0.9,12.5
270,ES,40.7,81.304,46.4,88,74.0,14.9
271,ES,40.7,81.304,46.4,88,74.0,11.4
272,ES,40.7,81.304,46.4,88,74.0,13.0
273,ES,40.7,81.304,46.4,88,0.2,14.9
274,ES,40.7,81.304,46.4,88,0.2,11.4
275,ES,40.7,81.304,46.4,88,0.2,13.0
276,ES,40.7,81.304,23.2,88,74.0,14.9
277,ES,40.7,81.304,23.2,88,74.0,11.4
278,ES,40.7,81.304,23.2,88,74.0,13.0
279,ES,40.7,81.304,23.2,88,0.2,14.9
280,ES,40.7,81.304,23.2,88,0.2,11.4
281,ES,40.7,81.304,23.2,88,0.2,13.0
282,ES,40.7,81.304,17.4,88,74.0,14.9
283,ES,40.7,81.304,17.4,88,74.0,11.4
284,ES,40.7,81.304,17.4,88,74.0,13.0
285,ES,40.7,81.304,17.4,88,0.2,14.9
286,ES,40.7,81.304,17.4,88,0.2,11.4
287,ES,40.7,81.304,17.4,88,0.2,13.0
288,ES,40.7,81.304,6.6,88,74.0,14.9
289,ES,40.7,81.304,6.6,88,74.0,11.4
290,ES,40.7,81.304,6.6,88,74.0,13.0
291,ES,40.7,81.304,6.6,88,0.2,14.9
292,ES,40.7,81.304,6.6,88,0.2,11.4
293,ES,40.7,81.304,6.6,88,0.2,13.0
294,ES,40.7,81.304,15.6,88,74.0,14.9
295,ES,40.7,81.304,15.6,88,74.0,11.4
296,ES,40.7,81.304,15.6,88,74.0,13.0
297,ES,40.7,81.304,15.6,88,0.2,14.9
298,ES,40.7,81.304,15.6,88,0.2,11.4
299,ES,40.7,81.304,15.6,88,0.2,13.0
300,FI,42.7,85.681,52.6,107,79.8,6.4
301,FI,42.7,85.681,52.6,107,79.8,7.1
302,FI,42.7,85.681,52.6,107,79.8,6.8
303,FI,42.7,85.681,52.6,107,2.5,6.4
304,FI,42.7,85.681,52.6,107,2.5,7.1
305,FI,42.7,85.681,52.6,107,2.5,6.8
306,FI,42.7,85.681,26.4,107,79.8,6.4
307,FI,42.7,85.681,26.4,107,79.8,7.1
308,FI,42.7,85.681,26.4,107,79.8,6.8
309,FI,42.7,85.681,26.4,107,2.5,6.4
310,FI,42.7,85.681,26.4,107,2.5,7.1
311,FI,42.7,85.681,26.4,107,2.5,6.8
312,FI,42.7,85.681,,107,79.8,6.4
313,FI,42.7,85.681,,107,79.8,7.1
314,FI,42.7,85.681,,107,79.8,6.8
315,FI,42.7,85.681,,107,2.5,6.4
316,FI,42.7,85.681,,107,2.5,7.1
317,FI,42.7,85.681,,107,2.5,6.8
318,FI,42.7,85.681,21.4,107,79.8,6.4
319,FI,42.7,85.681,21.4,107,79.8,7.1
320,FI,42.7,85.681,21.4,107,79.8,6.8
321,FI,42.7,85.681,21.4,107,2.5,6.4
322,FI,42.7,85.681,21.4,107,2.5,7.1
323,FI,42.7,85.681,21.4,107,2.5,6.8
324,FI,42.7,85.681,18.6,107,79.8,6.4
325,FI,42.7,85.681,18.6,107,79.8,7.1
326,FI,42.7,85.681,18.6,107,79.8,6.8
327,FI,42.7,85.681,18.6,107,2.5,6.4
328,FI,42.7,85.681,18.6,107,2.5,7.1
329,FI,42.7,85.681,18.6,107,2.5,6.8
330,FR,41.6,81.509,58.4,98,73.6,7.1
331,FR,41.6,81.509,58.4,98,73.6,7.5
332,FR,41.6,81.509,58.4,98,73.6,7.3
333,FR,41.6,81.509,58.4,98,1.0,7.1
334,FR,41.6,81.509,58.4,98,1.0,7.5
335,FR,41.6,81.509,58.4,98,1.0,7.3
336,FR,41.6,81.509,24.8,98,73.6,7.1
337,FR,41.6,81.509,24.8,98,73.6,7.5
338,FR,41.6,81.509,24.8,98,73.6,7.3
339,FR,41.6,81.509,24.8,98,1.0,7.1
340,FR,41.6,81.509,24.8,98,1.0,7.5
341,FR,41.6,81.509,24.8,98,1.0,7.3
342,FR,41.6,81.509,,98,73.6,7.1
343,FR,41.6,81.509,,98,73.6,7.5
344,FR,41.6,81.509,,98,73.6,7.3
345,FR,41.6,81.509,,98,1.0,7.1
346,FR,41.6,81.509,,98,1.0,7.5
347,FR,41.6,81.509,,98,1.0,7.3
348,FR,41.6,81.509,11.1,98,73.6,7.1
349,FR,41.6,81.509,11.1,98,73.6,7.5
350,FR,41.6,81.509,11.1,98,73.6,7.3
351,FR,41.6,81.509,11.1,98,1.0,7.1
352,FR,41.6,81.509,11.1,98,1.0,7.5
353,FR,41.6,81.509,11.1,98,1.0,7.3
354,FR,41.6,81.509,26.6,98,73.6,7.1
355,FR,41.6,81.509,26.6,98,73.6,7.5
356,FR,41.6,81.509,26.6,98,73.6,7.3
357,FR,41.6,81.509,26.6,98,1.0,7.1
358,FR,41.6,81.509,26.6,98,1.0,7.5
359,FR,41.6,81.509,26.6,98,1.0,7.3
360,HR,26.1,58.219,45.0,72,70.1,7.9
361,HR,26.1,58.219,45.0,72,70.1,5.9
362,HR,26.1,58.219,45.0,72,70.1,6.8
363,HR,26.1,58.219,45.0,72,3.7,7.9
364,HR,26.1,58.219,45.0,72,3.7,5.9
365,HR,26.1,58.219,45.0,72,3.7,6.8
366,HR,26.1,58.219,30.0,72,70.1,7.9
367,HR,26.1,58.219,30.0,72,70.1,5.9
368,HR,26.1,58.219,30.0,72,70.1,6.8
369,HR,26.1,58.219,30.0,72,3.7,7.9
370,HR,26.1,58.219,30.0,72,3.7,5.9
371,HR,26.1,58.219,30.0,72,3.7,6.8
372,HR,26.1,58.219,,72,70.1,7.9
373,HR,26.1,58.219,,72,70.1,5.9
374,HR,26.1,58.219,,72,70.1,6.8
375,HR,26.1,58.219,,72,3.7,7.9
376,HR,26.1,58.219,,72,3.7,5.9
377,HR,26.1,58.219,,72,3.7,6.8
378,HR,26.1,58.219,11.9,72,70.1,7.9
379,HR,26.1,58.219,11.9,72,70.1,5.9
380,HR,26.1,58.219,11.9,72,70.1,6.8
381,HR,26.1,58.219,11.9,72,3.7,7.9
382,HR,26.1,58.219,11.9,72,3.7,5.9
383,HR,26.1,58.219,11.9,72,3.7,6.8
384,HR,26.1,58.219,16.6,72,70.1,7.9
385,HR,26.1,58.219,16.6,72,70.1,5.9
386,HR,26.1,58.219,16.6,72,70.1,6.8
387,HR,26.1,58.219,16.6,72,3.7,7.9
388,HR,26.1,58.219,16.6,72,3.7,5.9
389,HR,26.1,58.219,16.6,72,3.7,6.8
390,HU,29.4,72.552,48.7,77,77.3,3.5
391,HU,29.4,72.552,48.7,77,77.3,3.7
392,HU,29.4,72.552,48.7,77,77.3,3.6
393,HU,29.4,72.552,48.7,77,2.4,3.5
394,HU,29.4,72.552,48.7,77,2.4,3.7
395,HU,29.4,72.552,48.7,77,2.4,3.6
396,HU,29.4,72.552,38.9,77,77.3,3.5
397,HU,29.4,72.552,38.9,77,77.3,3.7
398,HU,29.4,72.552,38.9,77,77.3,3.6
399,HU,29.4,72.552,38.9,77,2.4,3.5
400,HU,29.4,72.552,38.9,77,2.4,3.7
401,HU,29.4,72.552,38.9,77,2.4,3.6
