DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2013,29,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2014,30,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2015,30,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2016,29,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2017,30,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2018,30,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2019,30,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2020,30,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2021,31,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2022,34,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2023,36,p,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2013,131,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2014,129,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2015,128,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2016,128,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2017,125,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2018,126,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2019,124,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2020,123,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2021,121,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2022,123,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2023,120,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2024,115,p,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2013,30,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2014,30,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2015,31,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2016,31,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2017,31,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2018,32,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2019,32,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2020,33,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2021,33,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2022,34,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2023,36,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2013,121,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2014,121,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2015,119,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2016,118,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2017,117,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2018,116,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2019,117,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2020,118,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2021,117,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2022,119,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2023,118,p,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2024,117,p,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2013,46,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2014,48,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2015,49,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2016,51,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2017,52,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2018,53,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2019,55,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2020,57,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2021,60,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2022,62,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2023,64,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2024,66,p,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2013,170,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2014,169,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2015,169,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2016,164,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2017,158,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2018,157,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2019,152,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2020,153,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2021,156,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2022,159,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2023,154,p,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2013,84,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2014,81,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2015,83,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2016,88,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2017,89,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2018,91,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2019,93,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2020,91,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2021,94,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2022,98,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2023,97,p,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2024,95,p,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2013,85,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2014,88,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2015,89,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2016,89,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2017,92,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2018,93,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2019,95,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2020,96,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2021,92,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2022,89,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2023,90,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2024,91,p,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2013,126,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2014,128,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2015,126,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2016,126,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2017,126,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2018,125,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2019,122,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2020,123,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2021,120,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2022,118,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2023,116,p,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2024,115,p,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2013,129,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2014,128,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2015,127,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2016,126,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2017,128,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2018,127,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2019,125,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2020,132,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2021,134,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2022,135,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2023,125,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2024,128,p,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA19,2013,108,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA19,2014,108,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA19,2015,108,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA19,2016,107,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA19,2017,107,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA19,2018,106,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA19,2019,106,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA19,2020,105,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA19,2021,105,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA19,2022,105,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA19,2023,105,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA19,2024,104,p,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA20,2013,108,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA20,2014,107,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA20,2015,107,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA20,2016,107,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA20,2017,106,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA20,2018,106,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA20,2019,105,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA20,2020,104,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA20,2021,104,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA20,2022,104,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA20,2023,104,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA20,2024,104,p,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2013,76,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2014,78,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2015,77,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2016,78,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2017,80,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2018,82,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2019,84,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2020,85,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2021,85,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2022,84,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2023,80,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2024,79,p,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EL,2013,71,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EL,2014,71,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EL,2015,69,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EL,2016,67,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EL,2017,67,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EL,2018,66,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EL,2019,66,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EL,2020,62,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EL,2021,64,,
ESTAT:TEC00114(1.0),27/03/25 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EL,2022,67,,
